date R G B H S L Tot Rpc Gpc Bpc Rex Gex Bex nRGd nRBd nGBd
1_15_01_01_10_55 134.30096425024826 132.90707894736843 123.55855958291956 46.3666381307567 6.863703628310386 50.75500097355425 390.76660278053623 0.34676532067549215 0.34137171409474765 0.3118629652277447 12.13628997020854 7.954634061569017 -20.090924031777558 0.007504109845460838 0.05325044385280947 0.045837929390511
1_15_01_01_13_55 134.45311618669314 131.76446573982125 126.59400198609733 114.50762138090572 9.03527521909697 51.19077730397335 392.8115839126117 0.3472289586545582 0.33691231764374824 0.31585872370267043 10.547764647467726 2.4818133068520356 -13.029577954319763 0.014397275497473317 0.04785145037360707 0.03360990328198766
1_15_01_01_16_55 137.09864299900696 129.2659915590864 129.73056405163854 153.1035358589362 9.20618997722377 51.79222861537775 396.0951986097319 0.3497783410970674 0.3270360506731258 0.32318411865699825 15.200730387288978 -8.297223932472692 -6.903506454816286 0.03326794623398745 0.03990341603093021 0.00673508166515212
1_15_01_02_10_55 135.17186742800396 133.4308063555114 122.19418123138034 63.00556087099593 8.265005239043102 50.58708968592351 390.79685501489575 0.349750680258724 0.3429940034943677 0.30725531624623065 14.718747269116186 9.49556405163853 -24.214311320754717 0.009338356727189643 0.06516104588339246 0.05596494783825881
1_15_01_02_13_55 133.13974627606754 129.2434463753724 125.06740814299901 117.99933526667907 12.087838078464475 50.56136553926714 387.4506007944389 0.34891989905518805 0.334990757918474 0.3160883499783778 11.968638033763654 0.27973833167825224 -12.248376365441906 0.01956950550068687 0.05012431686558982 0.03079768529544236
1_15_01_02_16_55 130.30383813306852 131.57175372393246 124.51953277060576 119.5644617707321 13.227562764593708 50.37460336467955 386.3951246276068 0.33876929610660694 0.3440754245702629 0.3171344253018848 4.516389771598808 8.320136544190666 -12.836526315789474 -0.008581564586580503 0.03311402317564726 0.041912990767142506
1_15_01_03_10_55 126.35477606752731 126.74845580933466 116.89246226415095 103.78976164652737 14.424107972795207 48.07553400704473 369.9956941410129 0.34394237407009826 0.345192014298641 0.310660547084253 9.068634061569018 10.249673286991063 -19.31830734856008 -0.001757476553624237 0.0530553671892162 0.05500388868188354
1_15_01_03_13_55 124.81629692154915 123.94388778550149 123.90081082423039 115.19455519655192 9.217526796812125 48.738185349610646 372.66099553128106 0.33476046399376175 0.33114694281152984 0.33240043828060284 1.7878952333664349 -0.8293321747765641 -0.9585630585898709 0.005865730871690973 0.004612145077525796 -0.0012111584995603173
1_15_01_03_16_55 92.87643892750745 101.23208440913605 101.54430685203575 148.53505764169682 9.187104286776615 38.439017076544594 295.6528301886792 0.3099694639236545 0.34386248234876565 0.3461655711074016 -17.0235134061569 8.043423038728898 8.980090367428003 -0.053618377678727736 -0.05704929534322409 -0.003395711680119349
1_15_01_04_10_55 122.98096772591857 126.60142105263158 128.61224627606754 185.026386475753 11.248560356312561 49.43009940222121 378.19463505461766 0.32335696689783877 0.33425974517842927 0.3423803087781811 -9.251731876861966 1.6096281032770605 7.642103773584906 -0.016915846319686956 -0.028103504524807626 -0.01125667757394585
1_15_01_04_13_55 121.24788232373386 124.84172244289971 129.45119016881827 157.62057708784556 11.285787085809606 49.17968086141087 375.54079493545186 0.31911715337452484 0.33175332415048536 0.34895127023902933 -11.797147964250248 -1.0156276067527308 12.812775571002978 -0.02006502198441706 -0.04430535917094859 -0.024429693801516952
