cam;year;month;day;hour;min;r;g;b;h;s;v;tot;r_pc;g_pc;b_pc;r_ex;g_ex;b_ex;n_rg_d;n_rb_d;n_gb_d
1;14;1;1;10;55;128.174958788481;126.531749255214;119.842058589871;137.706643992056;11.9000357497517;0;374.548766633565;-1.06736884415457;-1.08640950593221;-1.14564492924639;9.97610973187686;5.04648113207547;-15.0225908639523;0.009680527637129;0.041007547546768;0.031542890824889
1;14;1;1;13;55;123.428187189672;125.24009980139;125.477266633565;119.428250248262;8.26712313803376;0;374.145553624628;-1.11068053190574;-1.0955677835437;-1.09042235759784;-3.86099205561073;1.5747457795432;2.28624627606753;-0.007658108225333;-0.010277340498497;-0.002499963315794
1;14;1;1;16;55;123.780841112215;127.910258192651;131.250415590864;172.278894736842;10.276911122145;0;382.94151489573;-1.13467774700502;-1.09817302887539;-1.06837035320749;-11.5989915590864;0.789259682224429;10.809731876862;-0.018333582453428;-0.03319010226664;-0.014896855522283
1;14;1;2;10;55;127.894463753724;124.938904667329;118.655820258193;149.69014101291;13.4419543197617;0;371.489188679245;-1.05650563299641;-1.08993665629209;-1.14625864693481;12.1942025819265;3.32752532274081;-15.5217279046673;0.017317887184722;0.049475430853141;0.032636409112434
1;14;1;2;13;55;121.836390268123;124.485751241311;128.082396722939;125.547676266137;10.0271698113208;0;374.404538232373;-1.12666175187312;-1.10345157014143;-1.06605823464033;-8.89536742800397;-0.947284508440914;9.84265193644489;-0.012038783284206;-0.030735212093652;-0.018454944288994
1;14;1;2;16;55;127.103349553128;125.856361469712;129.785843594836;167.852136544191;9.76739473684211;0;382.745554617676;-1.10373076820441;-1.11684516540233;-1.07714268405052;-1.43550595829196;-5.17647020854022;6.61197616683218;0.006855633856614;-0.013359793667599;-0.020013635752371
1;14;1;3;10;55;123.8044632572;125.029571002979;122.19001142006;125.463368917577;10.1796097318769;0;371.024045680238;-1.09600222812599;-1.08795624445576;-1.11026244782061;0.389344091360477;4.06466732869911;-4.45401142005958;-0.004562373140104;0.007839174208627;0.012522692868195
1;14;1;3;13;55;127.799367924528;127.580087884806;122.524398709037;94.0574006951341;8.62997567030785;0;377.903854518371;-1.08539504205259;-1.08691036609982;-1.12848888005209;5.49424925521351;4.83640913604767;-10.3306583912612;0.000825513436681;0.021638176138;0.020831980979392
1;14;1;3;16;55;119.708544190665;127.745549652433;133.317640019861;192.359820754717;13.9765968222443;0;380.771733862959;-1.16620477211155;-1.09369970743208;-1.04402671135989;-21.6461012909633;2.46491509433962;19.1811861966236;-0.036859366351859;-0.06130265809816;-0.024717912287075
1;14;1;4;10;55;127.145577457795;125.929478649454;123.563399205561;143.828206554121;11.4394394240318;0;376.63845531281;-1.08041766446963;-1.09806059581883;-1.11364033217298;4.79827706057597;1.14998063555114;-5.94825769612711;0.008862250733093;0.018955404120787;0.010204125616315
1;14;1;4;13;55;124.475671797418;124.861874875869;123.127266633565;106.306649453823;9.47780983118173;0;372.464813306852;-1.09280396069763;-1.09397419867102;-1.10412508023585;0.962202085402185;2.12081132075472;-3.0830134061569;6.12231692004654E-05;0.00681595244166;0.006759995286276
1;14;1;4;16;55;119.665103277061;129.797554121152;133.415856504469;178.496111717974;13.2849304865938;0;382.878513902681;-1.17075143979511;-1.08321896239218;-1.05016583349484;-23.8832040714995;6.51414846077458;17.3690556107249;-0.043746143776749;-0.060088626783165;-0.016468044399775
1;14;1;5;10;55;127.192032770606;122.059374875869;127.282595332671;209.253349553128;12.4746474677259;0;376.534002979146;-1.08036670975839;-1.13751758775257;-1.07650847548362;5.0420953326713;-10.3558783515392;5.31378301886793;0.032128144714871;-0.000331216230007;-0.031351878498569
1;14;1;5;13;55;123.970601290963;125.068644985104;122.857854518371;79.8454672293943;7.98968619662363;0;371.897100794439;-1.09636207919972;-1.08839032749081;-1.10679092161721;0.014703078450844;3.30883416087388;-3.32353723932473;-0.004397753370571;0.006113220929001;0.010523038207229
1;14;1;5;16;55;123.757389275074;127.703290466733;132.368999006951;171.325325223436;11.3350943396226;0;383.829678748759;-1.13838479128975;-1.10356451335759;-1.05820524555747;-12.5575109235353;-0.719807348560079;13.2773182720953;-0.018424258493411;-0.04068858231356;-0.022525622331087
1;14;1;6;10;55;120.018371400199;124.448206554121;127.308071002979;168.594224428997;11.7280307845084;0;371.774648957299;-1.13577326517159;-1.09529963866765;-1.06492633039967;-11.7195347567031;1.56997070506455;10.1495640516385;-0.021471605134054;-0.036653594303956;-0.015048868635373
1;14;1;6;13;55;124.103402681231;123.434159880834;125.391844587885;141.103812313803;9.51441708043694;0;372.92940714995;-1.0975980055705;-1.10763176221991;-1.084848324051;-0.619199106256207;-2.62692750744787;3.24612661370407;0.005874348863478;-0.006134422382678;-0.011704507840687
1;14;1;6;16;55;125.307348063555;129.959340119166;129.609909632572;123.097345580933;8.30772492552135;0;384.876597815293;-1.12629745811122;-1.0860317472631;-1.08789844429512;-8.95455362462761;5.00142254220457;3.95313108242304;-0.020150338871946;-0.019227388274524;0.000927235005666
1;14;1;7;10;55;131.215697616683;129.196860973188;122.075778550149;117.134661370407;11.9114637537239;0;382.48833714002;-1.07149478082735;-1.08462503433727;-1.14793729983879;11.1587557100298;5.1022457795432;-16.261001489573;0.006572354673384;0.038253932401415;0.031903527019908
1;14;1;7;13;55;122.940098311817;124.670686196624;124.296290963257;143.616282025819;10.7421176762661;0;371.907075471698;-1.11017651054699;-1.09334905969838;-1.09364784483957;-3.08678053624628;2.10498311817279;0.981797418073485;-0.008607547688339;-0.008052519670162;0.000636052728307
1;14;1;7;16;55;121.36783366435;126.140986097319;128.018092353525;149.484397219464;10.746591857001;0;375.526912115194;-1.13470940008221;-1.09122738225347;-1.07048076122478;-11.423411122145;2.89604617676266;8.52736494538232;-0.022954955638518;-0.033089934041214;-0.010253238151166
1;14;1;8;10;55;128.847412611718;128.47570754717;124.496073485601;113.160596822244;9.9454915590864;0;381.819193644489;-1.09036714446725;-1.08884553326381;-1.12283225001145;4.72304419066534;3.60792899702085;-8.3309731876862;-0.000719621224018;0.016478950950589;0.017288196372805
1;14;1;8;13;55;121.638732373386;124.939750744787;127.244272095333;170.346630089374;10.5985615690169;0;373.822755213505;-1.12839177005275;-1.09737229983167;-1.07358395385508;-8.90655809334657;0.996497020854022;7.91006107249255;-0.015698592067624;-0.027725229110573;-0.011970867974277
1;14;1;8;16;55;120.604695630586;126.778585898709;129.444970705065;164.616658887786;11.9501032770606;0;376.828252234359;-1.14638612799651;-1.08971743457157;-1.06260726599516;-15.0141653426018;3.50750546176763;11.5066598808342;-0.030119421596577;-0.04313922043739;-0.013420267062634
1;14;1;9;10;55;124.502691161867;123.78311469712;123.470749255214;136.367257199603;10.0487835153923;0;371.756555114201;-1.09060054820894;-1.10026200351836;-1.10153685696667;1.7515183714002;-0.407211022840119;-1.34430734856008;0.00542339079816;0.006200604690545;0.001009846889692
1;14;1;9;13;55;121.212924031778;123.297998510427;128.169346077458;164.601016881827;10.7864076464747;0;372.680268619662;-1.12692230355068;-1.10821225564522;-1.06002379113904;-9.04149652432969;-2.78627308838133;11.827769612711;-0.009547120188254;-0.034427187857296;-0.024625475044415
1;14;1;9;16;55;94.1757363455809;94.1757363455809;94.1757363455809;0;0;0;282.527209036743;-1.09861228866811;-1.09861228866811;-1.09861228866811;0;0;0;0;0;0
1;14;1;10;10;55;123.462542204568;125.886249255214;125.396737835154;175.930802383317;13.9134811320755;0;374.745529294935;-1.11997199028823;-1.09478146682924;-1.09068448038281;-4.35790268123138;2.91321847070506;1.44468421052632;-0.013726799126637;-0.013726873161444;5.76271095722194E-05
1;14;1;10;13;55;121.065456305859;124.395452333664;127.62808490566;123.661352532274;10.6521663356504;0;373.088993545184;-1.13579123264232;-1.10039606336152;-1.06564879180492;-9.89262462760675;0.097363455809335;9.79526117179742;-0.017875212297427;-0.035201361645387;-0.017361117923974
1;14;1;10;16;55;123.975067527309;126.253814796425;127.832848560079;151.302325223436;9.59752234359484;0;378.061730883813;-1.11826764514958;-1.09715811908765;-1.0807492885891;-6.13652830188679;0.699713505461768;5.43681479642502;-0.010961831774006;-0.018894175580552;-0.007847530276004
