cam;year;month;day;hour;min;r;g;b;h;s;v;tot;r_pc;g_pc;b_pc;r_ex;g_ex;b_ex;n_rg_d;n_rb_d;n_gb_d
1;18;1;1;10;55;119.570995034757;122.689485600794;123.830918073486;175.069356007944;10.9808992055611;0;366.091398709037;-1.12630852431007;-1.09555342204732;-1.07971773256193;-7.37841360476663;1.97705809334657;5.40135551142006;-0.01548266808698;-0.023325260288018;-0.007894401964408
1;18;1;1;13;55;127.108993545184;125.109200595829;127.765244786495;181.324030287984;10.5753267130089;0;379.983438927507;-1.09553116403378;-1.11709767691672;-1.08583358143741;1.34354170804369;-4.65583714001986;3.31229543197617;0.010538614984421;-0.005067926824817;-0.015581343916197
1;18;1;1;16;55;116.595775074479;124.686097815293;125.97204816286;168.684667328699;11.6868639523337;0;367.253921052632;-1.15321697061301;-1.08213638010649;-1.06734708731057;-17.4665958291956;6.80437239324727;10.6622234359484;-0.035412152572475;-0.042732519646075;-0.007379124842581
1;18;1;2;10;55;121.589281529295;125.156258689176;130.535430983118;198.403994041708;11.9941067527309;0;377.280971201589;-1.13729642807048;-1.10848134034243;-1.05646493777076;-12.5131266137041;-1.81219513406157;14.3253217477656;-0.014764095266701;-0.04057811398338;-0.02587731596427
1;18;1;2;13;55;126.858047169811;127.15819612711;123.71602979146;139.337298907646;9.60078103277061;0;377.732273088381;-1.09225807423892;-1.09255392211733;-1.11542794653884;2.84186842105263;3.74231529294935;-6.58418371400199;0.000108199551989;0.011549359143735;0.011415045527188
1;18;1;2;16;55;117.485958291956;121.667773584906;122.520060575968;177.497459285005;11.0923227408143;0;361.67379245283;-1.13063258734082;-1.09140786884725;-1.08037029691497;-9.21591757696127;3.32952830188679;5.88638927507448;-0.019500026388898;-0.024954802763979;-0.005502219151384
1;18;1;3;10;55;123.508938927507;125.803050645482;127.560055610725;185.900615690169;11.6762487586892;0;376.872045183714;-1.11950208834263;-1.10301963423478;-1.07833709912625;-6.34522840119166;0.537106752730884;5.80812164846078;-0.008945931385765;-0.021050412498299;-0.012203306507476
1;18;1;3;13;55;121.918376365442;125.513276564052;127.960228897716;156.276522840119;9.44099652432969;0;375.39188182721;-1.1286637945764;-1.0980960021129;-1.07326560590278;-9.63675273088381;1.14794786494538;8.48880486593843;-0.015471576916663;-0.027892690221793;-0.012442014456992
1;18;1;3;16;55;121.743350546177;128.51670754717;127.443510923535;169.347759682224;11.3259319761668;0;377.703569016882;-1.13750541289577;-1.07926331456722;-1.08396290287098;-12.4735173783515;7.84655362462761;4.62696375372393;-0.029989619474537;-0.02738850356834;0.002373135156271
1;18;1;4;10;55;125.98330387289;126.071308838133;125.920134558093;155.470128599801;10.0515143992056;0;377.974747269116;-1.09949438529975;-1.10354595316134;-1.09718372280862;-0.024835650446872;0.239179245283019;-0.214343594836147;0.001945580054577;-0.001170072476754;-0.003105533775644
1;18;1;4;13;55;129.452826216485;124.371528798411;129.526955809335;194.29082571996;11.7432403177756;0;383.35131082423;-1.08352595418704;-1.13738618143195;-1.07866132825308;5.00716782522344;-10.236724428997;5.22955660377358;0.027584129574581;-0.002511031719053;-0.029907832380327
1;18;1;4;16;55;86.5550883813307;93.2739250248262;94.9111732869911;164.472740317776;14.9646514399206;0;274.740186693148;-1.1672822050426;-1.08302352657155;-1.05973883797911;-15.0749215491559;5.08158838133069;9.99333316782522;-0.04160841866439;-0.053163788148128;-0.011589805362986
