cam;year;month;day;hour;min;r;g;b;h;s;v;tot;r_pc;g_pc;b_pc;r_ex;g_ex;b_ex;n_rg_d;n_rb_d;n_gb_d
1;17;1;1;10;55;129.114345580933;130.595454816286;128.434292949355;105.184120655412;6.73309781529295;0;388.144093346574;-1.09726280136987;-1.08818933336715;-1.112974197699;-0.801056603773585;3.64227110228401;-2.84121449851043;-0.004575353326191;0.00781127976465;0.012379526412364
1;17;1;1;13;55;133.707907646475;131.269656901688;123.11901142006;55.8453525322741;9.64198013902681;0;388.096575968222;-1.0595072587145;-1.08271647974424;-1.15954021013402;13.0271469712016;5.71239473684211;-18.7395417080437;0.011589668344911;0.049849139919983;0.038358885145121
1;17;1;1;16;55;125.441142999007;128.990072989076;133.544431479643;179.657435948361;11.5178997020854;0;387.975647467726;-1.13151887747162;-1.10310813188803;-1.06628179228124;-11.6522184707051;-1.00542850049652;12.6576469712016;-0.015451040680306;-0.03342239420687;-0.01852658078361
1;17;1;2;10;55;130.29630734856;125.58527060576;118.311797418073;84.1870729890765;13.1747735849057;0;374.193375372393;-1.04492533202551;-1.09016443645453;-1.16228503371493;16.695546673287;2.5624364448858;-19.2579831181728;0.0230661555391;0.060940727305636;0.038476717962819
1;17;1;2;13;55;122.308787984111;123.967561569017;124.063446375372;100.362455809335;9.36385700099305;0;370.3397959285;-1.10732204555087;-1.09358679527568;-1.09663520512532;-3.41343197616683;1.56288877855015;1.85054319761668;-0.008346186847923;-0.006467652550882;0.00101530304404
1;17;1;2;16;55;128.142092353525;127.239467725919;119.862705561072;96.4463401191658;13.0554056603774;0;375.244265640516;-1.0699507874348;-1.07937386288728;-1.1528068159481;9.18201142005958;6.47413753723933;-15.6561489572989;0.003917690948319;0.041134292736912;0.036928259897748
1;17;1;3;10;55;126.445188182721;127.739068023833;115.906131578947;82.6249101290963;14.965185203575;0;370.090387785501;-1.06839187751645;-1.05835231210531;-1.17668490629699;9.24517676266137;13.126816285998;-22.3719930486594;-0.006188285113192;0.054690625894141;0.060365886694533
1;17;1;3;13;55;124.07192999007;124.536235352532;124.687757696127;122.563147467726;9.62356703078451;0;373.295923038729;-1.10344282258363;-1.10044415003324;-1.09657189838487;-1.08013306852036;0.312783018867924;0.767350049652433;-0.002752702254748;-0.004082495833478;-0.002094011650851
1;17;1;3;16;55;119.98907000993;125.959797914598;128.78130734856;158.787817279047;12.0009185700099;0;374.730175273088;-1.14695348056147;-1.0934057938385;-1.06286650937066;-14.7629652432969;3.14921847070506;11.6137467725919;-0.028736324128329;-0.04281371938195;-0.015163911862757
1;17;1;4;10;55;131.028714001986;129.257522840119;116.626256206554;79.5471871896723;17.1820034756703;0;376.912493048659;-1.04679237591861;-1.06569477631202;-1.19609140491956;16.1736489572989;10.8600754716981;-27.033724428997;0.009340179713662;0.074770942631747;0.065561730446868
